FIPCO,TotPop
"5-DIGIT COUNTY FIPS CD" ,"Total Persons"
37025,98935
37027,70709
37029,5904
37031,52556
37033,20693
37035,118412
37037,38759
37039,20170
37041,13506
37043,7155
37045,84714
37047,49587
37049,81613
37051,274566
37053,13736
37055,22746
37057,126677
37059,27859
37061,39995
37063,181835
37065,56558
37067,265878
37069,36414
37071,175093
37073,9305
37075,7196
37077,38345
37079,15384
37081,347420
37083,55516
37085,67822
37087,46942
37089,69285
37091,22523
37093,22856
37095,5411
37097,92931
37099,26846
37101,81306
37103,9414
37105,41374
37107,57274
37109,50319
37111,35681
37113,23499
37115,16953
37117,25078
37119,511433
37121,14433
37123,23346
37125,59013
37127,76677
37129,120284
37131,20798
37133,149838
37135,93851
37137,11372
37139,31298
37141,28855
37143,10447
37145,30180
37147,107924
37149,14416
37151,106546
37153,44518
37155,105179
37157,86064
37159,110605
37161,56918
37163,47297
37165,33754
37167,51765
37169,37223
37171,61704
37173,11268
37175,25520
37177,3856
37179,84211
37181,38892
37183,423380
37185,17265
37187,13997
37189,36952
37191,104666
37193,59393
37195,66061
37197,30488
37199,15419
38001,3174
38003,12545
38005,7198
38007,1108
38009,8011
38011,3596
38013,3002
38015,60131
38017,102874
38019,6064
38021,6107
38023,2899
38025,4005
38027,2951
38029,4830
38031,3983
38033,2108
38035,70683
38037,3549
38039,3303
38041,3445
38043,3332
38045,5383
38047,2847
38049,6528
38051,4021
38053,6383
38055,10457
38057,9808
38059,23700
38061,7021
38063,4410
38065,2381
38067,9238
38069,5052
38071,12681
38073,5921
38075,3160
38077,18148
38079,12772
38081,4549
38083,2148
38085,3761
38087,907
38089,22832
38091,2420
38093,22241
38095,3627
38097,8752
38099,13840
38101,57921
38103,5864
38105,21129
39001,25371
39003,109755
39005,47507
39007,99821
39009,59549
39011,44585
39013,71074
39015,34966
39017,291479
39019,26521
39021,36019
39023,147548
39025,150187
39027,35415
39029,108276
39031,35427
39033,47870
39035,1412140
39037,53619
39039,39350
39041,66929
39043,76779
39045,103461
39047,27466
39049,961437
39051,38498
39053,30954
39055,81129
39057,136731
39059,39024
39061,866228
39063,65536
39065,31111
39067,16085
39069,29108
39071,35728
39073,25533
39075,32849
39077,56240
39079,30230
39081,80298
39083,47473
39085,215499
39087,61834
39089,128300
39091,42310
39093,271126
39095,462361
39097,37068
39099,264806
39101,64274
39103,122354
39105,22987
39107,39443
39109,93182
39111,15497
39113,573809
39115,14194
39117,27749
39119,82068
39121,11336
39123,40029
39125,20488
39127,31557
39129,48255
39131,24249
39133,142585
39135,40113
39137,33819
39139,126137
39141,69330
39143,61963
39145,80327
39147,59733
39149,44915
39151,367585
39153,514990
39155,227813
39157,84090
39159,31969
39161,30464
39163,11098
39165,113909
39167,62254
39169,101461
39171,36956
39173,113269
39175,22254
40001,18421
40003,6416
40005,12778
40007,6023
40009,18812
40011,11470
40013,32089
40015,29550
40017,74409
40019,42919
40021,34049
40023,15302
40025,3301
40027,174253
40029,5780
40031,111486
40033,6651
40035,14104
40037,60915
40039,26897
40041,28070
40043,5551
40045,4497
40047,56735
40049,26605
40051,41747
40053,5689
40055,6559
40057,3793
40059,4063
40061,10940
40063,13023
40065,28764
40067,7010
40069,10032
40071,48056
40073,13212
40075,11347
40077,10333
40079,43270
40081,29216
40083,29011
40085,8157
40087,22795
40089,33433
40091,16779
40093,8055
40095,10829
40097,33366
40099,12042
40101,68078
40103,11045
40105,9992
40107,11551
40109,599611
40111,36490
40113,41645
40115,30561
40117,15575
40119,61507
40121,40581
40123,34119
40125,58760
40127,10997
40129,4147
40131,55170
40133,25412
40135,33828
40137,42299
40139,16419
40141,10384
40143,503341
40145,47883
40147,48066
40149,11441
40151,9103
40153,18976
41001,15317
41003,70811
41005,278850
41007,33301
41009,37557
41011,60273
41013,14111
41015,19327
41017,74958
41019,94649
41021,1717
41023,7853
41025,7060
41027,16903
41029,146389
41031,13676
41033,62649
41035,57702
41037,7186
41039,282912
41041,38889
41043,91227
41045,26038
41047,228483
41049,7625
41051,583887
41053,49541
41055,1918
41057,21570
41059,59249
41061,23598
41063,6911
41065,21683
41067,311554
41069,1396
